number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_child_samples,params_min_split_gain,params_num_leaves,state
56,0.45,2023-01-31 16:40:34.454733,2023-01-31 16:40:34.567067,0 days 00:00:00.112334,0,6100,14.22219960867311,671,COMPLETE
57,0.45,2023-01-31 16:40:34.567257,2023-01-31 16:40:34.674163,0 days 00:00:00.106906,7,3400,6.696671916291997,226,COMPLETE
58,0.45,2023-01-31 16:40:34.674356,2023-01-31 16:40:34.777337,0 days 00:00:00.102981,3,7400,13.318196519527588,568,COMPLETE
59,0.45,2023-01-31 16:40:34.777556,2023-01-31 16:40:34.877653,0 days 00:00:00.100097,8,8000,9.328914060340582,994,COMPLETE
60,0.45,2023-01-31 16:40:34.877858,2023-01-31 16:40:34.976534,0 days 00:00:00.098676,6,4400,10.484056552998897,1147,COMPLETE
61,0.45,2023-01-31 16:40:34.976728,2023-01-31 16:40:35.070785,0 days 00:00:00.094057,12,9500,11.292940241683217,769,COMPLETE
62,0.45,2023-01-31 16:40:35.070989,2023-01-31 16:40:35.159892,0 days 00:00:00.088903,5,8900,11.847709674481422,733,COMPLETE
63,0.45,2023-01-31 16:40:35.160071,2023-01-31 16:40:35.255955,0 days 00:00:00.095884,9,8500,11.119233099038915,877,COMPLETE
64,0.45,2023-01-31 16:40:35.256126,2023-01-31 16:40:35.353828,0 days 00:00:00.097702,6,9600,12.420637000249881,951,COMPLETE
65,0.45,2023-01-31 16:40:35.354006,2023-01-31 16:40:35.453237,0 days 00:00:00.099231,0,8100,9.976291683638182,1027,COMPLETE
66,0.45,2023-01-31 16:40:35.453471,2023-01-31 16:40:35.552253,0 days 00:00:00.098782,10,5100,12.079412385082886,851,COMPLETE
67,0.45,2023-01-31 16:40:35.552461,2023-01-31 16:40:35.654947,0 days 00:00:00.102486,5,6900,12.94982656592709,346,COMPLETE
68,0.45,2023-01-31 16:40:35.655133,2023-01-31 16:40:35.755020,0 days 00:00:00.099887,7,9100,10.680867767565713,457,COMPLETE
69,0.45,2023-01-31 16:40:35.755205,2023-01-31 16:40:35.865863,0 days 00:00:00.110658,13,1300,14.232882305832565,1097,COMPLETE
70,0.45,2023-01-31 16:40:35.866076,2023-01-31 16:40:35.968525,0 days 00:00:00.102449,4,7500,13.50924841781121,418,COMPLETE
71,0.45,2023-01-31 16:40:35.968736,2023-01-31 16:40:36.062738,0 days 00:00:00.094002,15,6300,14.420911930148936,294,COMPLETE
72,0.45,2023-01-31 16:40:36.062927,2023-01-31 16:40:36.176788,0 days 00:00:00.113861,14,5700,13.957014088650622,227,COMPLETE
73,0.45,2023-01-31 16:40:36.177010,2023-01-31 16:40:36.270449,0 days 00:00:00.093439,13,2100,12.759655518343187,59,COMPLETE
74,0.45,2023-01-31 16:40:36.270621,2023-01-31 16:40:36.367606,0 days 00:00:00.096985,12,7100,13.574180381535527,115,COMPLETE
75,0.45,2023-01-31 16:40:36.367809,2023-01-31 16:40:36.467436,0 days 00:00:00.099627,11,10000,14.77709617088345,194,COMPLETE
76,0.45,2023-01-31 16:40:36.467611,2023-01-31 16:40:36.577374,0 days 00:00:00.109763,1,6600,11.085843147327797,501,COMPLETE
77,0.45,2023-01-31 16:40:36.577595,2023-01-31 16:40:36.682221,0 days 00:00:00.104626,4,3900,11.703056970855897,679,COMPLETE
78,0.45,2023-01-31 16:40:36.682443,2023-01-31 16:40:36.776933,0 days 00:00:00.094490,6,6000,12.289729903588782,825,COMPLETE
79,0.45,2023-01-31 16:40:36.777139,2023-01-31 16:40:36.893416,0 days 00:00:00.116277,13,200,13.077186662528948,579,COMPLETE
80,0.45,2023-01-31 16:40:36.893644,2023-01-31 16:40:37.006181,0 days 00:00:00.112537,14,7800,13.959306370084246,409,COMPLETE
81,0.45,2023-01-31 16:40:37.006375,2023-01-31 16:40:37.125551,0 days 00:00:00.119176,-1,2500,10.33689525667425,341,COMPLETE
82,0.45,2023-01-31 16:40:37.125751,2023-01-31 16:40:37.230097,0 days 00:00:00.104346,0,800,10.86947125443762,132,COMPLETE
83,0.45,2023-01-31 16:40:37.230275,2023-01-31 16:40:37.339748,0 days 00:00:00.109473,1,2900,9.468069324428487,268,COMPLETE
84,0.45,2023-01-31 16:40:37.339948,2023-01-31 16:40:37.442996,0 days 00:00:00.103048,2,3500,7.773310670732264,387,COMPLETE
85,0.45,2023-01-31 16:40:37.443205,2023-01-31 16:40:37.550208,0 days 00:00:00.107003,-1,2100,8.51327853314211,190,COMPLETE
86,0.45,2023-01-31 16:40:37.550419,2023-01-31 16:40:37.652151,0 days 00:00:00.101732,3,4800,14.585241938551743,494,COMPLETE
