number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_child_samples,params_min_split_gain,params_num_leaves,state
73,0.45,2023-01-31 16:43:11.329530,2023-01-31 16:43:11.442645,0 days 00:00:00.113115,9,2300,2.4585346563845123,602,COMPLETE
74,0.45,2023-01-31 16:43:11.442880,2023-01-31 16:43:11.546700,0 days 00:00:00.103820,6,2600,6.459993436856599,335,COMPLETE
75,0.45,2023-01-31 16:43:11.546934,2023-01-31 16:43:11.660373,0 days 00:00:00.113439,-1,4900,0.8559307684487529,421,COMPLETE
76,0.45,2023-01-31 16:43:11.660599,2023-01-31 16:43:11.774243,0 days 00:00:00.113644,4,10000,1.4568346421946687,242,COMPLETE
77,0.45,2023-01-31 16:43:11.774487,2023-01-31 16:43:11.883281,0 days 00:00:00.108794,5,500,4.559497037292843,933,COMPLETE
78,0.45,2023-01-31 16:43:11.883526,2023-01-31 16:43:11.995189,0 days 00:00:00.111663,13,1900,8.806824678981922,1304,COMPLETE
79,0.45,2023-01-31 16:43:11.995446,2023-01-31 16:43:12.097772,0 days 00:00:00.102326,15,5200,5.298386951967833,536,COMPLETE
80,0.45,2023-01-31 16:43:12.098018,2023-01-31 16:43:12.208706,0 days 00:00:00.110688,1,1200,9.455437146931905,437,COMPLETE
81,0.45,2023-01-31 16:43:12.208933,2023-01-31 16:43:12.322925,0 days 00:00:00.113992,15,6700,8.10002021364427,1465,COMPLETE
82,0.45,2023-01-31 16:43:12.323156,2023-01-31 16:43:12.420996,0 days 00:00:00.097840,13,5700,7.47231118183412,1145,COMPLETE
83,0.45,2023-01-31 16:43:12.421196,2023-01-31 16:43:12.534026,0 days 00:00:00.112830,14,7000,8.933077985567886,1405,COMPLETE
84,0.45,2023-01-31 16:43:12.534269,2023-01-31 16:43:12.643668,0 days 00:00:00.109399,0,6100,9.8370004380943,1242,COMPLETE
85,0.45,2023-01-31 16:43:12.643925,2023-01-31 16:43:12.749191,0 days 00:00:00.105266,3,7300,8.350601573208605,640,COMPLETE
86,0.45,2023-01-31 16:43:12.749429,2023-01-31 16:43:12.862006,0 days 00:00:00.112577,8,4400,5.86499056602673,729,COMPLETE
87,0.45,2023-01-31 16:43:12.862254,2023-01-31 16:43:12.967476,0 days 00:00:00.105222,10,6600,6.8406224053061955,507,COMPLETE
88,0.45,2023-01-31 16:43:12.967751,2023-01-31 16:43:13.077351,0 days 00:00:00.109600,15,7600,8.644918613065421,1178,COMPLETE
89,0.45,2023-01-31 16:43:13.077587,2023-01-31 16:43:13.184007,0 days 00:00:00.106420,14,5600,9.189934188972678,1274,COMPLETE
90,0.45,2023-01-31 16:43:13.184229,2023-01-31 16:43:13.285857,0 days 00:00:00.101628,6,3700,7.929529400827617,1009,COMPLETE
91,0.45,2023-01-31 16:43:13.289291,2023-01-31 16:43:13.398145,0 days 00:00:00.108854,-1,4800,9.37598902194479,1077,COMPLETE
92,0.45,2023-01-31 16:43:13.398377,2023-01-31 16:43:13.501811,0 days 00:00:00.103434,1,4400,7.598150594775239,1035,COMPLETE
93,0.45,2023-01-31 16:43:13.502043,2023-01-31 16:43:13.615765,0 days 00:00:00.113722,0,8800,10.097872769154769,1103,COMPLETE
94,0.45,2023-01-31 16:43:13.615976,2023-01-31 16:43:13.729935,0 days 00:00:00.113959,7,3200,7.135226258991416,1334,COMPLETE
95,0.45,2023-01-31 16:43:13.730179,2023-01-31 16:43:13.842379,0 days 00:00:00.112200,-1,3500,8.650325907160985,900,COMPLETE
96,0.45,2023-01-31 16:43:13.842596,2023-01-31 16:43:13.956664,0 days 00:00:00.114068,2,9700,6.581600156986704,1227,COMPLETE
97,0.45,2023-01-31 16:43:13.956913,2023-01-31 16:43:14.071370,0 days 00:00:00.114457,12,3000,10.773812013859333,566,COMPLETE
98,0.45,2023-01-31 16:43:14.071624,2023-01-31 16:43:14.170748,0 days 00:00:00.099124,4,5400,9.76101255120019,1184,COMPLETE
99,0.45,2023-01-31 16:43:14.170976,2023-01-31 16:43:14.276777,0 days 00:00:00.105801,1,5900,8.173853856918258,1442,COMPLETE
