number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_child_samples,params_min_split_gain,params_num_leaves,state
84,0.45,2023-01-31 16:43:23.651730,2023-01-31 16:43:23.757009,0 days 00:00:00.105279,12,9000,3.247943112342051,281,COMPLETE
85,0.45,2023-01-31 16:43:23.757268,2023-01-31 16:43:23.857671,0 days 00:00:00.100403,1,3300,6.477718990960071,813,COMPLETE
86,0.45,2023-01-31 16:43:23.857892,2023-01-31 16:43:23.968482,0 days 00:00:00.110590,6,2500,3.682707554240654,885,COMPLETE
87,0.45,2023-01-31 16:43:23.968681,2023-01-31 16:43:24.071091,0 days 00:00:00.102410,7,8200,7.173228316754463,121,COMPLETE
88,0.45,2023-01-31 16:43:24.071328,2023-01-31 16:43:24.173228,0 days 00:00:00.101900,11,2000,5.691706187027087,681,COMPLETE
89,0.45,2023-01-31 16:43:24.173428,2023-01-31 16:43:24.278848,0 days 00:00:00.105420,10,9500,4.530921104626908,39,COMPLETE
90,0.45,2023-01-31 16:43:24.279041,2023-01-31 16:43:24.377012,0 days 00:00:00.097971,2,2800,6.05619550772842,988,COMPLETE
91,0.45,2023-01-31 16:43:24.377203,2023-01-31 16:43:24.488309,0 days 00:00:00.111106,-1,9700,2.7185586574045173,540,COMPLETE
92,0.45,2023-01-31 16:43:24.488508,2023-01-31 16:43:24.595398,0 days 00:00:00.106890,1,9300,3.640199746790042,618,COMPLETE
93,0.45,2023-01-31 16:43:24.595565,2023-01-31 16:43:24.708523,0 days 00:00:00.112958,3,5000,5.017883632274473,718,COMPLETE
94,0.45,2023-01-31 16:43:24.708761,2023-01-31 16:43:24.826776,0 days 00:00:00.118015,0,8400,3.4314598924180237,766,COMPLETE
95,0.45,2023-01-31 16:43:24.827004,2023-01-31 16:43:24.934461,0 days 00:00:00.107457,8,1500,1.7316337458369362,192,COMPLETE
96,0.45,2023-01-31 16:43:24.934705,2023-01-31 16:43:25.034588,0 days 00:00:00.099883,1,6900,4.274702855033874,933,COMPLETE
97,0.45,2023-01-31 16:43:25.034786,2023-01-31 16:43:25.140333,0 days 00:00:00.105547,4,700,5.558684439761291,682,COMPLETE
98,0.45,2023-01-31 16:43:25.140571,2023-01-31 16:43:25.260843,0 days 00:00:00.120272,2,400,2.459710270522141,134,COMPLETE
99,0.45,2023-01-31 16:43:25.261108,2023-01-31 16:43:25.392155,0 days 00:00:00.131047,15,6300,3.0681709524089134,1498,COMPLETE
