number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_max_depth,params_min_data_in_leaf,params_min_gain_to_split,params_n_components,params_num_leaves,params_subsample,state
12,0.8332467532467532,2023-01-31 00:20:10.799280,2023-01-31 00:20:13.862726,0 days 00:00:03.063446,0.8570832523061283,0.6317609056429837,12,9300,11.029818575296915,12,289,0.9978400895537878,COMPLETE
13,0.8332467532467532,2023-01-31 00:20:13.862834,2023-01-31 00:20:17.369180,0 days 00:00:03.506346,0.5402793903493168,0.7945239085536038,-1,3200,11.89643583708746,30,913,0.20320660409390479,COMPLETE
14,0.8332467532467532,2023-01-31 00:20:17.369300,2023-01-31 00:20:20.955047,0 days 00:00:03.585747,0.8694764303977041,0.5482371516758396,8,6000,11.991576479742589,20,1244,0.49190215208636795,COMPLETE
15,0.8332467532467532,2023-01-31 00:20:20.955170,2023-01-31 00:20:24.354405,0 days 00:00:03.399235,0.9839675491861972,0.6744803966900665,5,8400,9.650066976845409,5,378,0.7991110806566292,COMPLETE
16,0.8332467532467532,2023-01-31 00:20:24.354520,2023-01-31 00:20:27.666667,0 days 00:00:03.312147,0.7090169612901569,0.8100800636112807,11,5400,13.530273510925243,12,46,0.5522034788204433,COMPLETE
17,0.8332467532467532,2023-01-31 00:20:27.666777,2023-01-31 00:20:30.577236,0 days 00:00:02.910459,0.8511421730001064,0.5795862690860524,15,3800,13.174604435501676,11,712,0.6767648606985787,COMPLETE
18,0.8332467532467532,2023-01-31 00:20:30.577345,2023-01-31 00:20:33.850046,0 days 00:00:03.272701,0.6260749883163395,0.8462905765671881,7,8300,10.679794987602554,15,403,0.8409971415977668,COMPLETE
19,0.8332467532467532,2023-01-31 00:20:33.850170,2023-01-31 00:20:37.236865,0 days 00:00:03.386695,0.7710349486276621,0.6835081950979006,-1,5900,8.286740690819009,23,165,0.7219066989128421,COMPLETE
20,0.8332467532467532,2023-01-31 00:20:37.236979,2023-01-31 00:20:40.120447,0 days 00:00:02.883468,0.5213004415490755,0.9958414290564364,13,1700,5.2623798290853046,7,705,0.8003545876225211,COMPLETE
21,0.8332467532467532,2023-01-31 00:20:40.120560,2023-01-31 00:20:43.106562,0 days 00:00:02.986002,0.7863502573810642,0.8416460346863565,9,2700,3.884922581840964,10,912,0.5906031504302726,COMPLETE
22,0.8332467532467532,2023-01-31 00:20:43.106672,2023-01-31 00:20:46.227728,0 days 00:00:03.121056,0.7355211991049887,0.8764136097275304,9,1300,4.711843822022495,9,1119,0.653920444685203,COMPLETE
23,0.8332467532467532,2023-01-31 00:20:46.227849,2023-01-31 00:20:48.837291,0 days 00:00:02.609442,0.911957594727754,0.7381188700746472,7,3400,2.131658306285925,6,850,0.494433303674274,COMPLETE
24,0.8332467532467532,2023-01-31 00:20:48.837408,2023-01-31 00:20:52.182673,0 days 00:00:03.345265,0.9202025094644048,0.860361649081975,11,4700,7.419349032107229,14,766,0.36526850910826314,COMPLETE
25,0.8332467532467532,2023-01-31 00:20:52.182791,2023-01-31 00:20:55.077829,0 days 00:00:02.895038,0.80179528645146,0.7825548732198025,5,2600,5.668526074507293,10,461,0.5628860651729274,COMPLETE
26,0.8332467532467532,2023-01-31 00:20:55.077937,2023-01-31 00:20:58.104739,0 days 00:00:03.026802,0.9130316768269264,0.9128935609357661,9,5700,4.367801121546588,17,1076,0.6777770660038708,COMPLETE
27,0.8332467532467532,2023-01-31 00:20:58.104849,2023-01-31 00:21:00.497888,0 days 00:00:02.393039,0.7174084033458382,0.6861452883934772,4,1700,3.4092100971345616,8,293,0.29786155187951024,COMPLETE
28,0.8332467532467532,2023-01-31 00:21:00.498000,2023-01-31 00:21:03.509196,0 days 00:00:03.011196,0.9991706105216015,0.9854209880173701,8,6400,6.790367695487821,11,646,0.47456755507404225,COMPLETE
29,0.8332467532467532,2023-01-31 00:21:03.509321,2023-01-31 00:21:06.507520,0 days 00:00:02.998199,0.6315518826829665,0.90992217503303,12,8300,2.738393708620325,5,161,0.5943953761771114,COMPLETE
30,0.8332467532467532,2023-01-31 00:21:06.507632,2023-01-31 00:21:09.871398,0 days 00:00:03.363766,0.8134411285317202,0.8009305681543747,6,2400,4.994881691750228,5,786,0.650332175774124,COMPLETE
31,0.8332467532467532,2023-01-31 00:21:09.871509,2023-01-31 00:21:12.490011,0 days 00:00:02.618502,0.8725793645588505,0.9327074550459895,1,200,5.704953204157683,7,179,0.9685174358503204,COMPLETE
32,0.8332467532467532,2023-01-31 00:21:12.490126,2023-01-31 00:21:16.063570,0 days 00:00:03.573444,0.686267587722078,0.9020266565959754,0,2100,3.415651606949959,20,541,0.8753396170117071,COMPLETE
33,0.8332467532467532,2023-01-31 00:21:16.063685,2023-01-31 00:21:19.227227,0 days 00:00:03.163542,0.7566109938935631,0.9640712709378246,3,800,6.33694592329704,7,361,0.9598350399379874,COMPLETE
