number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_max_depth,params_min_data_in_leaf,params_min_gain_to_split,params_n_components,params_num_leaves,params_subsample,state
27,0.8332467532467532,2023-01-31 00:18:21.590040,2023-01-31 00:18:24.146869,0 days 00:00:02.556829,0.2518553282918254,0.2267602954169167,7,3800,8.244818839322837,18,1286,0.7896409231898938,COMPLETE
28,0.8332467532467532,2023-01-31 00:18:24.146990,2023-01-31 00:18:26.790715,0 days 00:00:02.643725,0.6591913675161045,0.2776486739604218,4,2800,14.982829382312362,21,745,0.9374716511725791,COMPLETE
29,0.8332467532467532,2023-01-31 00:18:26.790830,2023-01-31 00:18:29.017219,0 days 00:00:02.226389,0.4111099495717105,0.4011739705946076,6,8500,3.043089176633667,9,1456,0.8711431375374369,COMPLETE
30,0.8332467532467532,2023-01-31 00:18:29.017335,2023-01-31 00:18:31.576051,0 days 00:00:02.558716,0.40923885425224754,0.5266313091158659,10,7700,5.681382432348162,30,933,0.8768034155443849,COMPLETE
31,0.8332467532467532,2023-01-31 00:18:31.576165,2023-01-31 00:18:34.536565,0 days 00:00:02.960400,0.3620220979482643,0.43408177442488743,5,9200,3.7853446488635867,12,1326,0.9173849981600675,COMPLETE
32,0.8332467532467532,2023-01-31 00:18:34.536680,2023-01-31 00:18:37.437509,0 days 00:00:02.900829,0.49094047446251704,0.3879246979349219,6,6700,6.656063620219674,8,1335,0.8391474831477064,COMPLETE
33,0.8332467532467532,2023-01-31 00:18:37.437620,2023-01-31 00:18:40.356567,0 days 00:00:02.918947,0.3664572726934955,0.43756265331069083,9,8300,5.801789285248843,7,1478,0.9988187099580981,COMPLETE
34,0.8332467532467532,2023-01-31 00:18:40.356684,2023-01-31 00:18:42.613290,0 days 00:00:02.256606,0.5427745446730382,0.3520422220945912,6,5100,9.05001771697091,15,94,0.9002790449079716,COMPLETE
35,0.8332467532467532,2023-01-31 00:18:42.613410,2023-01-31 00:18:45.097962,0 days 00:00:02.484552,0.4514944972778517,0.5433839096638067,11,9500,7.532960902985054,25,1360,0.7519572416582616,COMPLETE
36,0.8332467532467532,2023-01-31 00:18:45.098075,2023-01-31 00:18:47.761128,0 days 00:00:02.663053,0.30466232433621765,0.6187521912451199,4,6000,8.680463357866849,6,367,0.37773950157751657,COMPLETE
37,0.8332467532467532,2023-01-31 00:18:47.761245,2023-01-31 00:18:50.740818,0 days 00:00:02.979573,0.5818198773164095,0.5002822215211997,0,9900,4.7681102213182545,11,1106,0.81418025441776,COMPLETE
38,0.8332467532467532,2023-01-31 00:18:50.740937,2023-01-31 00:18:54.354767,0 days 00:00:03.613830,0.4807506747331032,0.5753892613020564,2,8900,7.009691909543131,16,1496,0.6619830380476667,COMPLETE
39,0.8332467532467532,2023-01-31 00:18:54.354878,2023-01-31 00:18:57.833029,0 days 00:00:03.478151,0.368979333682562,0.24657080009947852,14,7900,7.784144542491642,13,1404,0.730414731481698,COMPLETE
40,0.8332467532467532,2023-01-31 00:18:57.833149,2023-01-31 00:19:01.242662,0 days 00:00:03.409513,0.314314263383702,0.32693712943674175,8,7200,10.039314189085692,19,576,0.6295616650311706,COMPLETE
41,0.8332467532467532,2023-01-31 00:19:01.242788,2023-01-31 00:19:04.835838,0 days 00:00:03.593050,0.4010063584848059,0.37964826007890695,5,5200,8.704657966360466,23,66,0.9537540273038752,COMPLETE
42,0.8332467532467532,2023-01-31 00:19:04.835964,2023-01-31 00:19:08.628742,0 days 00:00:03.792778,0.21104556969770333,0.4482904253799226,3,3900,9.657490556765277,24,282,0.7951583737818207,COMPLETE
43,0.8332467532467532,2023-01-31 00:19:08.628863,2023-01-31 00:19:12.301335,0 days 00:00:03.672472,0.325984754779421,0.39429435205161856,5,6000,10.507466359435371,28,387,0.9009914347379174,COMPLETE
44,0.8332467532467532,2023-01-31 00:19:12.301455,2023-01-31 00:19:15.935538,0 days 00:00:03.634083,0.4370481160380304,0.2454555649178862,7,5500,9.328500032458885,22,144,0.8420939633392447,COMPLETE
45,0.8332467532467532,2023-01-31 00:19:15.935652,2023-01-31 00:19:19.323880,0 days 00:00:03.388228,0.38263726792357056,0.3190087919956489,10,6700,8.355788415609467,25,21,0.9450190019379704,COMPLETE
46,0.8332467532467532,2023-01-31 00:19:19.323992,2023-01-31 00:19:22.833298,0 days 00:00:03.509306,0.5003143645805014,0.5023785478116103,9,4700,7.333986675208332,20,682,0.9845625221233487,COMPLETE
47,0.8332467532467532,2023-01-31 00:19:22.833419,2023-01-31 00:19:26.273334,0 days 00:00:03.439915,0.5516664221474172,0.20683604536960074,12,3100,6.23944683007109,27,1228,0.8840569499551993,COMPLETE
48,0.8332467532467532,2023-01-31 00:19:26.273449,2023-01-31 00:19:29.388449,0 days 00:00:03.115000,0.5982868908092761,0.37749945737369983,1,3700,11.050845563680157,21,807,0.8235426299964083,COMPLETE
49,0.8332467532467532,2023-01-31 00:19:29.388576,2023-01-31 00:19:32.674526,0 days 00:00:03.285950,0.13558597933285554,0.2929600813820789,4,7100,10.563687211598818,17,949,0.9583062078902649,COMPLETE
